album_title,album_url,album_rss,album_review,album_author,album_latest_time,album_latest_topic
个人收藏,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2737&fromop=all,0,0,redballoon,  2024-4-13 16:16,【爪哇教育】Web全栈工程师班 - 2023
52实用软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2736&fromop=all,3,2,lccccccc,  2024-5-3 21:05,任务栏透明 TranslucentTB 2024.1
软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2735&fromop=all,0,0,lclchen,  2024-4-3 21:48,搜索文本2.4（从word、wps、excel、pdf和txt文件中查找文本的工具）
软件破解教程精品,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2734&fromop=all,0,0,collinchen1218,  2024-4-19 23:46,【开源】金山打字通 2016 速通工具
逆向文章,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2733&fromop=all,0,0,bucaiGitHub,  2024-5-5 18:46,安卓逆向入门笔记(一)——apk文件结构
极品,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2732&fromop=all,0,0,帅帅糖爸,  2024-3-20 18:54,开源离线语音识别输入工具CapsWriter v1.0——支持无限时长语音+音视频文件转录字幕
小白的自我救赎2,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2731&fromop=all,0,0,muyisd,  2024-3-20 08:55,Ultimate Vocal Remover v5.6.0（人声伴奏分离工具）
xlin cloud,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2634&fromop=all,5,0,fyabcabc,  2024-5-5 22:55,双轨快传 v1.1.1 （同时使用USB和WIFI传输文件到电脑）
海纳百川,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2633&fromop=all,0,0,暗黑惟我独尊,  2023-4-10 22:58,bkviewer5.5j pro 11m绿色单文件数码照片浏览器
                 .,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2632&fromop=all,111,17,1225661221,  2024-5-4 16:46,24年全域电商矩阵109节线上课
我感兴趣的,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2631&fromop=all,7,5,1225661221,  2024-5-14 12:58,千万人气美食博主：每天15分钟，轻松做出63款米其林级甜点
实用工具箱,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2630&fromop=all,0,1,Diver欣,  2023-4-4 14:56,护眼小工具CareUEyes 1.1.13.0便携版
绿色软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2629&fromop=all,0,0,q918532,  2023-5-4 15:33,最新版傲梅分区助手(AOMEI Partition Assistant)V9.8，附图文教程
考证,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2628&fromop=all,0,0,EdLiya,  2023-3-20 13:15,求2023年监理工程师课件（土建专业）
个人常用,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2626&fromop=all,0,0,不想当咸鱼,  2023-3-15 13:54,当openAI赋能翻译插件，感觉有道可以下岗了
系统常用久久系列,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2625&fromop=all,0,4,980152157,  2024-3-13 11:13,中国象棋 v1.78 摸鱼神器 无限悔棋 任意编辑棋盘
TK收藏杂货铺,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2624&fromop=all,0,0,Tucker-Tan,  2023-3-14 16:01,【全网首发】一键批量共享文件夹--更新至V1.2（20220926）
我的资源,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2622&fromop=all,9,3,yefei,  2024-5-5 21:23,最用心全面的VIP硬笔书法课程
我的工具箱,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2621&fromop=all,5,2,yefei,  2024-4-17 09:41,美图秀秀9.4.0.2PC绿色无广告版本
行业软件-电脑软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2620&fromop=all,0,0,yingwure,  2023-3-14 12:31,鹦鹉软件---鹦鹉日程管理，日程提醒。给新人送波福利。
微信生成系列,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2619&fromop=all,0,0,onlychinese,  2023-3-8 11:09,做一个一键生成抖音上百万播放量的微信对话视频？
好的软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2618&fromop=all,0,0,suiyue1233,  2023-4-4 11:06,使用Cheat Engine加速百度网盘下载详细图文教程
我分享的书籍,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2617&fromop=all,6,5,suiyue1233,  2023-5-12 09:39,分享书籍《观赏植物原色图鉴》
先存着,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2616&fromop=all,0,0,一帆大官人,  2023-3-11 22:30,通用Excel数据匹配助手 v2.0（VLOOKUP）（已更换链接，抱歉之前传错了）
pdf,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2615&fromop=all,0,0,ahappypanda,  2023-3-2 00:18,PDF电子书如何一键添加书签
脚印,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2614&fromop=all,0,0,kwangyeonc,  2023-2-27 13:33,StupidOCR_1.0.6 验证码识别，可本地可部署服务器，增加图标点选功能
手机(车机)软件工具合集,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2613&fromop=all,22,5,kristzhang,  2024-3-28 10:52,手机上的 GIF 优秀制作工具——动图助手 V3.9.7
小工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2612&fromop=all,0,0,若非若非若,  2023-2-19 16:53,PDF解密工具Ver2.0.0
按键,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2611&fromop=all,0,0,goodluckwxl,  2023-2-17 11:55,自动键鼠(AutoJS) v5.0.3.2 全中文 易于使用的键盘和鼠标模拟软件
1,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2610&fromop=all,0,0,williasdu,  2024-4-29 14:45,PC 微信防撤回插件 适用3.9.10.19
优秀软件集合,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2609&fromop=all,2,2,Pony21,  2024-5-6 11:58,卡巴斯基安全软件 V21.17.7.539 免费版
精选收藏,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2608&fromop=all,0,0,ppxj0,  2023-2-14 09:36,
学习资料&软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2607&fromop=all,15,8,kristzhang,  2024-3-5 20:22,2024年二建科目（全科）视频精讲
工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2605&fromop=all,0,0,psk107520,  2023-2-10 09:27,【更新v2.0】XLibrary v2.0 ，第三方ZLibrary 客户端
通俗易懂学编程,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2604&fromop=all,0,0,Abby_小杰,  2023-2-9 15:21,通俗易懂！近500页Python漫画教程高清PDF版python入门必备
磊兰之恋（恺悦精藏）,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2602&fromop=all,2,1,胡伟磊,  2024-3-20 11:40,桌牌、台签、席卡、座位牌、批量快速打印 v1.2
实用小工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2601&fromop=all,101,23,小智xyz,  2024-5-11 02:49,KTV v50.0.0 免费电视K歌
新鲜,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2600&fromop=all,0,0,zephyrlynn,  2023-1-29 15:13,推荐9个好用到爆的实用网站，建议收藏
kay工具箱,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2599&fromop=all,43,9,冷凯,  2024-5-13 16:45,超市播音系统V9.9（思维构造）——定时播放功能免费
电商自媒体工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2598&fromop=all,81,13,冷凯,  2024-4-13 17:19,微信朋友圈导出工具 WechatMoments v0.0.1便携版
漫长学习路,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2596&fromop=all,0,0,YFxbxb888,  2023-4-10 23:08,一些云盘搜索引擎合集
施工软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2595&fromop=all,0,0,深爱我的女孩,  2023-1-14 22:08,项目管理软件_P6_Pro_R2212 单机免费版
2024年度最佳优秀软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2594&fromop=all,80,28,onlychinese,  2024-3-30 11:21,Office下载部署工具Mocreak2.2.0.301
lizf2019专属领域,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2593&fromop=all,0,1,lizf2019,  2023-9-10 14:30,开源图片放大工具 Final2x 1.1.5 便携版 - 可提高图像分辨率与质量
生成山水画,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2592&fromop=all,1,0,夏520,  2024-3-31 15:47,【阿里开源】AI图片上色 DDcolor 本地版
新概念英语学习,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2591&fromop=all,0,0,倒立的土豆,  2023-1-2 14:39,分享一套900G的 新西方 英语1-4册 视频教程，注意是新版，不是老版。
实用工具软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2590&fromop=all,13,8,submariner,  2024-4-5 06:43,又更新啦!!!!(2024/3/20)  熊猫脚本助手_吾爱专版 V1.8
精品小软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2565&fromop=all,0,0,q14060,  2023-4-23 16:09,GitHub 开源项目精选（2023.04.22更新）
收藏,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2564&fromop=all,0,1,ehepls,  2022-10-31 15:13,分享几个高质量免费壁纸网址
7799,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2563&fromop=all,0,0,sfl4800,  2022-10-27 06:16,抖音直播录制工具（2022.08.15更新）
B站4K,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2562&fromop=all,0,1,C斯咚喃,  2022-12-9 12:38,悬赏区帮人下载的B站4K纪录片《小小世界》分享
实用,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2561&fromop=all,0,0,wleetop,  2023-11-2 15:12,【开源】微软语音合成助手tts-vue 1.9.15
自己能学的教程,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2560&fromop=all,0,0,wkdxz,  2022-10-22 15:45,新人福利——Cheat Engine功能之基础篇
自己写的软件，干净又卫生,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2559&fromop=all,2,0,wkdxz,  2022-11-12 07:27,【10.21更新】微信文字整理软件wechat_msg_tool_v10.21（写给女友的软件③）
特殊功能的软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2558&fromop=all,1,4,wkdxz,  2023-4-24 11:13,Python通过串口收发文件
单文件yyds,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2557&fromop=all,0,0,CraneJ1a,  2022-10-1 09:47,磁盘大文件分析工具 TreeSizeFree 2.1.0.82 单文件便携版 仅714Kb
最新代下,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2556&fromop=all,0,1,Kendodoo,  2022-10-3 13:48,CSDN代下，长期有效
1,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2555&fromop=all,0,0,135544,  2022-11-19 09:17,MobaXterm各版本汉化(MobaXterm+MoTTY+MoRTE)+license(最新V20.0...)
666,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2554&fromop=all,0,0,白云点缀的蓝,  2022-9-22 17:44,Windows 11 22H2 正式版原版镜像下载,Windows 11首次重大更新版本,全方位大幅提升体验
破解门前,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2553&fromop=all,0,0,luxingyu329,  2022-12-6 04:37,如何下载伪装成图片的m3u8视频流
羊了个羊集合帖,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2552&fromop=all,35,67,greatday,  2022-12-22 21:29,[2022.9.28]羊了个羊协议分析
影视,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2551&fromop=all,0,0,wzt0524,  2022-9-12 08:42,今天和大家分享点影视网站。
音乐,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2550&fromop=all,0,0,wzt0524,  2022-9-12 08:41,这两个音乐下载网站 很神
便利店,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2549&fromop=all,0,0,平项山,  2022-9-10 12:55,视频转文字教程
星际争霸2+1,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2548&fromop=all,0,0,白云点缀的蓝,  2022-9-10 14:25,CapsCursor14.18输入法辅助工具，自动切换中英文，自定义大小写键，万能Capslock键
小小工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2547&fromop=all,3,3,剑转流云,  2022-11-8 09:07,IP地址一键设置工具
实用指南,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2546&fromop=all,11,5,wleetop,  2024-4-25 13:51,帅乾VX控制PC【SQ原创】
我觉得有用的一,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2545&fromop=all,23,3,飘浮,  2024-5-9 09:45,GitHub 开源项目精选（2024.04.16更新）
优秀的工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2544&fromop=all,62,9,北人无择,  2024-5-7 19:27,一键定时自动化任务神器 zTasker v1.88.1，支持语音报时+定时计划执行（打工人必备）
库管易,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2543&fromop=all,0,0,Aliceberuku,  2022-8-30 09:13,库管易20220618版
实用工具箱,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2542&fromop=all,14,7,greatday,  2023-2-4 19:32,酷我音乐的官方接口分享
不错,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2541&fromop=all,0,0,不苦小和尚,  2024-2-3 07:16,封包拦截器（可自适应拦截32位和64位手游封包）【发布 1.0.0.24】
mysql的收录,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2540&fromop=all,0,0,mysql,  2022-8-24 17:13,【浏览器插件】Noptcha v0.1.10，自动识别图片验证码，支持reCAPTCHA和hCAPTCHA
实用工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2538&fromop=all,0,0,javan_du,  2022-9-19 23:39,博看书苑 V7.7.0  正版电子期刊杂志图书
防丢失,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2536&fromop=all,1,0,drwang2012,  2023-3-18 21:58,TTS文字转语音工具【MultiTTS v1.0】2G多的离线音源包
精品软件,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2535&fromop=all,0,0,sk8820,  2022-8-18 08:45,Emeditor加入json格式化小工具
ios相关,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2534&fromop=all,0,0,Angxi,  2022-8-15 10:52,
实用小工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2533&fromop=all,18,17,kk1212,  2023-12-15 10:08,Xlight ftp server V3.6.5┊容量小功能全免安装┊简体中文绿色特别版
某验,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2532&fromop=all,0,0,sunning-H-C,  2022-8-7 08:28,某验四代滑块参数学习
我觉得有用的,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2531&fromop=all,8,1,飘浮,  2023-11-3 08:20,【2023.11.2更新】【坤_Tools】word转pdf、pdf转word、替换内容、转换图片、合并图
可能会用到,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2530&fromop=all,0,0,小单单大蛋蛋,  2022-8-6 08:43,植物大战僵尸阳光开局9990
java,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2529&fromop=all,0,0,IT那些事儿,  2022-7-30 13:01,GitHub 开源项目精选（2022.07.30更新）
吾爱精华,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2528&fromop=all,13,3,冬天冷了多穿点,  2024-4-26 10:50,B站视频下载工具 Bilidown 1.1.3
有用就好,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2527&fromop=all,0,0,寰宇1113,  2022-8-5 11:01,10000套精品PPT模板合集：含商业计划书、工作总结、各类主题风格、抖音快闪模板等
不可错过的实用工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2526&fromop=all,2654,586,zpolar,  2024-5-15 22:18,Excel函数宝典 行业模板（各行各业 办公室必备图表）
教育狂热者,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2525&fromop=all,13,5,lammysoft,  2024-3-31 13:56,智绘教 版本：20240128a 屏幕批注画板工具
整机必备工具,https://www.52pojie.cn/forum.php?mod=collection&action=view&ctid=2524&fromop=all,26,8,lammysoft,  2023-7-18 08:21,分享几个我常用的网站
